,budget,release_date,revenue,title,month,year,rating,season,genre_1,profitability
15167,356000000.0,2019-04-24,2797800564.0,Avengers: Endgame,4,2019,PG-13,Spring,Adventure,2441800564.0
15166,300000000.0,2018-04-25,2046239637.0,Avengers: Infinity War,4,2018,PG-13,Spring,Adventure,1746239637.0
18,150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,1521713208.0
19625,260000000.0,2019-07-12,1656943394.0,The Lion King,7,2019,PG,Summer,Adventure,1396943394.0
210,220000000.0,2012-04-25,1519557910.0,The Avengers,4,2012,PG-13,Spring,Science Fiction,1299557910.0
10542,190000000.0,2015-04-01,1515047671.0,Furious 7,4,2015,PG-13,Spring,Action,1325047671.0
8842,250000000.0,2015-04-22,1405403694.0,Avengers: Age of Ultron,4,2015,PG-13,Spring,Action,1155403694.0
4647,200000000.0,2018-02-13,1346739107.0,Black Panther,2,2018,PG-13,Winter,Action,1146739107.0
662,125000000.0,2011-07-07,1341511219.0,Harry Potter and the Deathly Hallows: Part 2,7,2011,PG-13,Summer,Fantasy,1216511219.0
9554,200000000.0,2017-12-13,1332539889.0,Star Wars: The Last Jedi,12,2017,PG-13,Holiday,Science Fiction,1132539889.0
16130,150000000.0,2019-11-20,1330764959.0,Frozen II,11,2019,PG,Holiday,Animation,1180764959.0
7955,150000000.0,2013-11-27,1274219009.0,Frozen,11,2013,PG,Holiday,Animation,1124219009.0
10381,160000000.0,2017-03-16,1263521126.0,Beauty and the Beast,3,2017,PG,Spring,Family,1103521126.0
13486,200000000.0,2018-06-14,1242805359.0,Incredibles 2,6,2018,PG,Summer,Action,1042805359.0
16364,250000000.0,2017-04-12,1238764765.0,The Fate of the Furious,4,2017,PG-13,Spring,Action,988764765.0
1018,200000000.0,2013-04-18,1214811252.0,Iron Man 3,4,2013,PG-13,Spring,Action,1014811252.0
7948,74000000.0,2015-06-17,1156730962.0,Minions,6,2015,PG,Summer,Family,1082730962.0
13035,250000000.0,2016-04-27,1153296293.0,Captain America: Civil War,4,2016,PG-13,Spring,Adventure,903296293.0
20100,160000000.0,2019-06-28,1131927996.0,Spider-Man: Far from Home,6,2019,PG-13,Summer,Action,971927996.0
15165,152000000.0,2019-03-06,1128274794.0,Captain Marvel,3,2019,PG-13,Spring,Action,976274794.0
1429,195000000.0,2011-06-28,1123794079.0,Transformers: Dark of the Moon,6,2011,PG-13,Summer,Action,928794079.0
466,200000000.0,2012-10-25,1108561013.0,Skyfall,10,2012,PG-13,Fall,Action,908561013.0
6670,210000000.0,2014-06-25,1104054072.0,Transformers: Age of Extinction,6,2014,PG-13,Summer,Science Fiction,894054072.0
1260,250000000.0,2012-07-16,1081041287.0,The Dark Knight Rises,7,2012,PG-13,Summer,Action,831041287.0
21473,55000000.0,2019-10-02,1074251311.0,Joker,10,2019,R,Fall,Crime,1019251311.0
