budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
356000000.0,2019-04-24,2797800564.0,Avengers: Endgame,4,2019,PG-13,Spring,Adventure,2441800564.0,Mark Ruffalo,actor,"[""Bruce Banner"",""Hulk""]"
356000000.0,2019-04-24,2797800564.0,Avengers: Endgame,4,2019,PG-13,Spring,Adventure,2441800564.0,Chris Hemsworth,actor,"[""Thor""]"
356000000.0,2019-04-24,2797800564.0,Avengers: Endgame,4,2019,PG-13,Spring,Adventure,2441800564.0,Chris Evans,actor,"[""Steve Rogers"",""Captain America""]"
356000000.0,2019-04-24,2797800564.0,Avengers: Endgame,4,2019,PG-13,Spring,Adventure,2441800564.0,Robert Downey Jr.,actor,"[""Tony Stark"",""Iron Man""]"
300000000.0,2018-04-25,2046239637.0,Avengers: Infinity War,4,2018,PG-13,Spring,Adventure,1746239637.0,Mark Ruffalo,actor,"[""Bruce Banner"",""Hulk""]"
300000000.0,2018-04-25,2046239637.0,Avengers: Infinity War,4,2018,PG-13,Spring,Adventure,1746239637.0,Chris Hemsworth,actor,"[""Thor""]"
300000000.0,2018-04-25,2046239637.0,Avengers: Infinity War,4,2018,PG-13,Spring,Adventure,1746239637.0,Chris Evans,actor,"[""Steve Rogers"",""Captain America""]"
300000000.0,2018-04-25,2046239637.0,Avengers: Infinity War,4,2018,PG-13,Spring,Adventure,1746239637.0,Robert Downey Jr.,actor,"[""Tony Stark"",""Iron Man""]"
150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,1521713208.0,Judy Greer,actress,"[""Karen""]"
150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,1521713208.0,Chris Pratt,actor,"[""Owen""]"
150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,1521713208.0,Bryce Dallas Howard,actress,"[""Claire""]"
150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,1521713208.0,Ty Simpkins,actor,"[""Gray""]"
260000000.0,2019-07-12,1656943394.0,The Lion King,7,2019,PG,Summer,Adventure,1396943394.0,Chiwetel Ejiofor,actor,"[""Scar""]"
260000000.0,2019-07-12,1656943394.0,The Lion King,7,2019,PG,Summer,Adventure,1396943394.0,Seth Rogen,actor,"[""Pumbaa""]"
260000000.0,2019-07-12,1656943394.0,The Lion King,7,2019,PG,Summer,Adventure,1396943394.0,James Earl Jones,actor,"[""Mufasa""]"
260000000.0,2019-07-12,1656943394.0,The Lion King,7,2019,PG,Summer,Adventure,1396943394.0,Donald Glover,actor,"[""Simba""]"
220000000.0,2012-04-25,1519557910.0,The Avengers,4,2012,PG-13,Spring,Science Fiction,1299557910.0,Scarlett Johansson,actress,"[""Natasha Romanoff"",""Black Widow""]"
220000000.0,2012-04-25,1519557910.0,The Avengers,4,2012,PG-13,Spring,Science Fiction,1299557910.0,Jeremy Renner,actor,"[""Clint Barton"",""Hawkeye""]"
220000000.0,2012-04-25,1519557910.0,The Avengers,4,2012,PG-13,Spring,Science Fiction,1299557910.0,Chris Evans,actor,"[""Steve Rogers"",""Captain America""]"
220000000.0,2012-04-25,1519557910.0,The Avengers,4,2012,PG-13,Spring,Science Fiction,1299557910.0,Robert Downey Jr.,actor,"[""Tony Stark"",""Iron Man""]"
190000000.0,2015-04-01,1515047671.0,Furious 7,4,2015,PG-13,Spring,Action,1325047671.0,Vin Diesel,actor,"[""Dominic Toretto""]"
