budget,release_date,revenue,title,month,year,rating,season,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
12000000.0,2018-11-02,0.0,The Other Side of the Wind,11,2018,R,Holiday,Comedy,Drama,,,,,
0.0,2013-09-27,0.0,Cooper and Hemingway: The True Gen,9,2013,,Fall,Documentary,,,,,,
5000000.0,2018-11-06,0.0,Heaven & Hell,11,2018,,Holiday,Drama,,,,,,
65000000.0,2012-06-15,73706.0,Foodfight!,6,2012,PG,Summer,Animation,Action,Comedy,Family,,,
2000000.0,2013-08-11,0.0,Return to Babylon,8,2013,,Summer,Comedy,Drama,,,,,
4000000.0,2010-01-01,0.0,Life's a Beach,1,2010,R,Winter,Comedy,,,,,,
0.0,2012-09-27,0.0,Dark Blood,9,2012,,Fall,Thriller,,,,,,
0.0,2021-01-14,0.0,Mortal Kombat,1,2021,,Winter,Fantasy,Action,Adventure,,,,
0.0,2012-12-02,0.0,Quantum Quest: A Cassini Space Odyssey,12,2012,,Holiday,Family,,,,,,
0.0,2010-04-23,0.0,In My Sleep,4,2010,PG-13,Spring,Thriller,Mystery,Drama,,,,
0.0,2003-07-23,0.0,Rice Girl,7,2003,,Summer,Comedy,,,,,,
0.0,2010-01-01,0.0,This Wretched Life,1,2010,,Winter,,,,,,,
0.0,2017-01-12,0.0,Bunyan and Babe,1,2017,PG,Winter,Adventure,Animation,Comedy,Family,Fantasy,,
4000000.0,2017-06-13,0.0,The Evil Within,6,2017,,Summer,Horror,,,,,,
90000000.0,2013-12-18,188133322.0,The Secret Life of Walter Mitty,12,2013,PG,Holiday,Adventure,Comedy,Drama,Fantasy,,,
0.0,2018-05-12,0.0,Fahrenheit 451,5,2018,PG-13,Summer,Drama,Science Fiction,Thriller,,,,
0.0,2018-09-21,0.0,Nappily Ever After,9,2018,,Fall,Comedy,Romance,,,,,
28000000.0,2014-09-18,53181600.0,A Walk Among the Tombstones,9,2014,R,Fall,Crime,Drama,Mystery,Thriller,,,
150000000.0,2015-06-06,1671713208.0,Jurassic World,6,2015,PG-13,Summer,Action,Adventure,Science Fiction,Thriller,,,
5000000.0,2011-08-09,0.0,Spy,8,2011,,Summer,Action,Crime,Drama,Mystery,Thriller,,
45000000.0,2011-10-13,24000000.0,The Rum Diary,10,2011,R,Fall,Drama,Comedy,,,,,
36000000.0,2011-01-13,189712432.0,Gnomeo & Juliet,1,2011,G,Winter,Animation,Family,,,,,
30000000.0,2012-04-13,54819301.0,The Three Stooges,4,2012,PG,Spring,Comedy,,,,,,
26000000.0,2019-10-31,18377736.0,Motherless Brooklyn,10,2019,R,Fall,Drama,Thriller,,,,,
300000.0,2010-05-20,0.0,Anderson's Cross,5,2010,,Summer,Romance,Comedy,Drama,,,,
260000000.0,2010-11-24,591794936.0,Tangled,11,2010,PG,Holiday,Animation,Family,,,,,
250000000.0,2012-03-07,284139100.0,John Carter,3,2012,PG-13,Spring,Action,Adventure,Science Fiction,,,,
55000000.0,2010-04-22,0.0,Burnt by the Sun 2: Exodus,4,2010,,Spring,Drama,War,,,,,
0.0,2012-04-25,0.0,Gambit,4,2012,PG-13,Spring,Comedy,Crime,,,,,
0.0,2013-09-17,0.0,In Secret,9,2013,R,Fall,Drama,Thriller,Crime,,,,
163000000.0,2011-07-29,174822325.0,Cowboys & Aliens,7,2011,PG-13,Summer,Action,Science Fiction,Thriller,Western,,,
250000.0,2008-05-25,0.0,Hempsters: Plant the Seed,5,2008,,Summer,Documentary,,,,,,
0.0,2010-08-06,0.0,Disconnect,8,2010,NR,Summer,Thriller,Mystery,Crime,Science Fiction,,,
0.0,2015-07-17,643557.0,The Stanford Prison Experiment,7,2015,,Summer,Thriller,,,,,,
0.0,2010-11-01,0.0,Venus & Vegas,11,2010,R,Holiday,Action,Comedy,,,,,
0.0,2012-05-07,0.0,Acorralados,5,2012,,Summer,,,,,,,
69000000.0,2010-07-30,86387857.0,Dinner for Schmucks,7,2010,PG-13,Summer,Comedy,,,,,,
0.0,2019-08-30,0.0,A Million Little Pieces,8,2019,,Summer,Drama,,,,,,
110000000.0,2010-06-09,177238796.0,The A-Team,6,2010,PG-13,Summer,Thriller,Action,Adventure,Comedy,Crime,,
14000000.0,2012-08-30,85446075.0,The Possession,8,2012,PG-13,Summer,Horror,Thriller,,,,,
0.0,1963-05-03,0.0,The Queen of Sheba Meets the Atom Man,5,1963,,Summer,Comedy,,,,,,
110000000.0,2011-09-28,299268508.0,Real Steel,9,2011,PG-13,Fall,Action,Science Fiction,Drama,,,,
1500000.0,2011-03-01,0.0,Satin,3,2011,,Spring,Comedy,Drama,Romance,,,,
200000000.0,2010-06-16,1066969703.0,Toy Story 3,6,2010,G,Summer,Animation,Family,Comedy,,,,
170000000.0,2019-01-31,404852543.0,Alita: Battle Angel,1,2019,PG-13,Winter,Action,Science Fiction,Adventure,,,,
0.0,2010-01-01,0.0,"Cargo, the Lost Men",1,2010,,Winter,,,,,,,
65000000.0,2012-11-09,275293450.0,Lincoln,11,2012,PG-13,Holiday,History,Drama,,,,,
0.0,2014-09-11,37151.0,Before We Go,9,2014,PG-13,Fall,Drama,Romance,Comedy,,,,
0.0,2010-06-22,0.0,Seven Days,6,2010,,Summer,Drama,Horror,Thriller,,,,
60000000.0,2010-08-12,47664559.0,Scott Pilgrim vs. the World,8,2010,PG-13,Summer,Action,Comedy,Romance,Music,,,
0.0,2011-09-23,0.0,A Bird of the Air,9,2011,PG-13,Fall,Drama,Romance,,,,,
80000000.0,2019-03-29,363533271.0,Shazam!,3,2019,PG-13,Spring,Action,Comedy,Fantasy,,,,
130000000.0,2011-10-28,554987477.0,Puss in Boots,10,2011,PG,Fall,Action,Adventure,Animation,Family,Fantasy,Comedy,
0.0,2010-02-02,0.0,Mad World,2,2010,R,Winter,,,,,,,
1000000.0,2011-05-20,0.0,The Passing,5,2011,,Summer,Horror,,,,,,
0.0,2017-09-19,0.0,Clawed,9,2017,,Fall,Horror,,,,,,
149000000.0,2017-05-30,821847012.0,Wonder Woman,5,2017,PG-13,Summer,Action,Adventure,Fantasy,,,,
0.0,2013-04-20,0.0,Blunt Movie,4,2013,R,Spring,Comedy,,,,,,
40000000.0,2013-04-12,95020213.0,42,4,2013,PG-13,Spring,Drama,,,,,,
0.0,2010-04-29,0.0,El hada buena - Una fábula peronista,4,2010,,Spring,Science Fiction,Fantasy,,,,,
120000000.0,2012-11-20,609016565.0,Life of Pi,11,2012,PG,Holiday,Adventure,Drama,Action,,,,
0.0,2012-03-02,540152.0,Being Flynn,3,2012,R,Spring,Drama,,,,,,
20000000.0,2010-02-26,54956140.0,The Crazies,2,2010,R,Winter,Mystery,Horror,Action,,,,
55000000.0,2014-09-24,192330738.0,The Equalizer,9,2014,R,Fall,Thriller,Action,Crime,,,,
0.0,2011-11-26,0.0,Memories of Overdevelopment,11,2011,,Holiday,,,,,,,
140000000.0,2011-07-22,370569774.0,Captain America: The First Avenger,7,2011,PG-13,Summer,Action,Adventure,Science Fiction,,,,
65000000.0,2014-08-20,39407616.0,Sin City: A Dame to Kill For,8,2014,R,Summer,Crime,Action,Thriller,,,,
7000000.0,2011-04-14,0.0,Generation P,4,2011,,Spring,Comedy,Drama,Science Fiction,,,,
0.0,2013-03-08,0.0,One Step Beyond - The True Story of Géraldine Fasnacht,3,2013,,Spring,,,,,,,
0.0,2010-10-08,0.0,Drunkboat,10,2010,PG-13,Fall,Drama,,,,,,
0.0,2017-07-27,2550321.0,The Only Living Boy in New York,7,2017,,Summer,Drama,,,,,,
0.0,2011-03-18,0.0,Saving Private Perez,3,2011,,Spring,Action,Comedy,,,,,
